term,left_bin,left_perc,right_bin,right_perc
toronto rape crisis,1.0,0.001,0.0,0.0
topple dozens once-powerful,1.0,0.001,0.0,0.0
topic globes tackle,1.0,0.001,0.0,0.0
topic brooklyn nine-nine,1.0,0.001,0.0,0.0
topic babe.net allegations,1.0,0.001,0.0,0.0
topic abruptly face-to-face,1.0,0.001,0.0,0.0
tono progresista discurso,1.0,0.001,0.0,0.0
tomi nominated promoted,1.0,0.001,0.0,0.0
tomi lahren politically,1.0,0.001,0.0,0.0
tolerance willingness cede,1.0,0.001,0.0,0.0
toilet tweeting arguing,1.0,0.001,0.0,0.0
tocó actriz alyssa,1.0,0.001,0.0,0.0
toback writer divorces,1.0,0.001,0.0,0.0
titular wrestling florian,1.0,0.001,0.0,0.0
tipping decades-old abuses,1.0,0.001,0.0,0.0
timing netflix's glow,1.0,0.001,0.0,0.0
timide sentent obligées,1.0,0.001,0.0,0.0
time's up-inspired unfurling,1.0,0.001,0.0,0.0
time's united nations,1.0,0.001,0.0,0.0
time's pins harassment,1.0,0.001,0.0,0.0
time's movimiento respuesta,1.0,0.001,0.0,0.0
time's mel gibson,1.0,0.001,0.0,0.0
time's lisa borders,1.0,0.001,0.0,0.0
time's lapel pins,1.0,0.001,0.0,0.0
time's inclusion tricky,1.0,0.001,0.0,0.0
time's harassment mcdonald's,1.0,0.001,0.0,0.0
time's gender-equality women's,1.0,0.001,0.0,0.0
time's explode powerfully,1.0,0.001,0.0,0.0
time's emboldened anymore,1.0,0.001,0.0,0.0
time's cracked harvey,1.0,0.001,0.0,0.0
time's campaign victims,1.0,0.001,0.0,0.0
time's campaign accusations,1.0,0.001,0.0,0.0
time's breakers trump,1.0,0.001,0.0,0.0
time's advocate victims,1.0,0.001,0.0,0.0
tiempo proteja víctima,1.0,0.001,0.0,0.0
tidy bite child,1.0,0.001,0.0,0.0
ticker atrocities sitcom,1.0,0.001,0.0,0.0
tick-tock baked redemption,1.0,0.001,0.0,0.0
tibbetts mason barrington,1.0,0.001,0.0,0.0
thurman samurai sword,1.0,0.001,0.0,0.0
thurman ominous harvey,1.0,0.001,0.0,0.0
thurman normalized abuse,1.0,0.001,0.0,0.0
thurman harvey weinstein,1.0,0.001,0.0,0.0
